epoch  5, iter    1: loss: 0.05655378 | lr: 0.00009755  | spend time: 0 days  0 hours  1 minutes  0 seconds
epoch  5, iter  101: loss: 0.06120082 | lr: 0.00009755  | spend time: 0 days  0 hours  1 minutes 43 seconds
epoch  5, iter  201: loss: 0.05664468 | lr: 0.00009755  | spend time: 0 days  0 hours  2 minutes 25 seconds
epoch  5, iter  301: loss: 0.05533310 | lr: 0.00009755  | spend time: 0 days  0 hours  3 minutes  7 seconds
epoch  5, iter  401: loss: 0.05668229 | lr: 0.00009755  | spend time: 0 days  0 hours  3 minutes 49 seconds
epoch  5, iter  501: loss: 0.05435142 | lr: 0.00009755  | spend time: 0 days  0 hours  4 minutes 31 seconds
epoch  5, iter  601: loss: 0.05635687 | lr: 0.00009755  | spend time: 0 days  0 hours  5 minutes 13 seconds
epoch  5, iter  701: loss: 0.05659354 | lr: 0.00009755  | spend time: 0 days  0 hours  5 minutes 55 seconds
epoch  5, iter  801: loss: 0.05642256 | lr: 0.00009755  | spend time: 0 days  0 hours  6 minutes 37 seconds
epoch  5, iter  901: loss: 0.05485447 | lr: 0.00009755  | spend time: 0 days  0 hours  7 minutes 19 seconds
epoch  5, iter 1001: loss: 0.05575972 | lr: 0.00009755  | spend time: 0 days  0 hours  8 minutes  2 seconds
epoch  5, iter 1101: loss: 0.05631357 | lr: 0.00009755  | spend time: 0 days  0 hours  8 minutes 44 seconds
epoch  5, iter 1201: loss: 0.05543353 | lr: 0.00009755  | spend time: 0 days  0 hours  9 minutes 26 seconds
epoch  5, iter 1301: loss: 0.05855141 | lr: 0.00009755  | spend time: 0 days  0 hours 10 minutes  8 seconds
epoch  5, iter 1401: loss: 0.05446753 | lr: 0.00009755  | spend time: 0 days  0 hours 10 minutes 50 seconds
epoch  5, iter 1501: loss: 0.05565271 | lr: 0.00009755  | spend time: 0 days  0 hours 11 minutes 32 seconds
epoch  5, iter 1601: loss: 0.05555270 | lr: 0.00009755  | spend time: 0 days  0 hours 12 minutes 14 seconds
epoch  5, iter 1701: loss: 0.05557187 | lr: 0.00009755  | spend time: 0 days  0 hours 12 minutes 56 seconds
epoch  5, iter 1801: loss: 0.05786594 | lr: 0.00009755  | spend time: 0 days  0 hours 13 minutes 38 seconds
epoch  5, iter 1901: loss: 0.05567434 | lr: 0.00009755  | spend time: 0 days  0 hours 14 minutes 21 seconds
epoch  5, iter 2001: loss: 0.05551661 | lr: 0.00009755  | spend time: 0 days  0 hours 15 minutes  3 seconds
epoch  5, iter 2101: loss: 0.05577834 | lr: 0.00009755  | spend time: 0 days  0 hours 15 minutes 45 seconds
epoch  5, iter 2201: loss: 0.05627542 | lr: 0.00009755  | spend time: 0 days  0 hours 16 minutes 27 seconds
epoch  5, iter 2301: loss: 0.05546498 | lr: 0.00009755  | spend time: 0 days  0 hours 17 minutes  9 seconds
epoch  5, iter 2401: loss: 0.05556053 | lr: 0.00009755  | spend time: 0 days  0 hours 17 minutes 51 seconds
epoch  5, iter 2501: loss: 0.05472263 | lr: 0.00009755  | spend time: 0 days  0 hours 18 minutes 33 seconds
epoch  5, iter 2601: loss: 0.05535498 | lr: 0.00009755  | spend time: 0 days  0 hours 19 minutes 15 seconds
epoch  5, iter 2701: loss: 0.05555375 | lr: 0.00009755  | spend time: 0 days  0 hours 19 minutes 57 seconds
epoch  5, iter 2801: loss: 0.05818104 | lr: 0.00009755  | spend time: 0 days  0 hours 20 minutes 39 seconds
epoch  5, iter 2901: loss: 0.05565410 | lr: 0.00009755  | spend time: 0 days  0 hours 21 minutes 22 seconds
epoch  5, iter 3001: loss: 0.05627367 | lr: 0.00009755  | spend time: 0 days  0 hours 22 minutes  4 seconds
epoch  5, iter 3101: loss: 0.05433199 | lr: 0.00009755  | spend time: 0 days  0 hours 22 minutes 45 seconds
epoch  5, iter 3201: loss: 0.05504304 | lr: 0.00009755  | spend time: 0 days  0 hours 23 minutes 27 seconds
epoch  5, iter 3301: loss: 0.05671004 | lr: 0.00009755  | spend time: 0 days  0 hours 24 minutes  9 seconds
epoch  5, iter 3401: loss: 0.05386667 | lr: 0.00009755  | spend time: 0 days  0 hours 24 minutes 51 seconds
epoch  5, iter 3501: loss: 0.05565630 | lr: 0.00009755  | spend time: 0 days  0 hours 25 minutes 34 seconds
epoch  5, iter 3601: loss: 0.05545478 | lr: 0.00009755  | spend time: 0 days  0 hours 26 minutes 16 seconds
epoch  5, iter 3701: loss: 0.05614467 | lr: 0.00009755  | spend time: 0 days  0 hours 26 minutes 58 seconds
epoch  5, iter 3801: loss: 0.05576905 | lr: 0.00009755  | spend time: 0 days  0 hours 27 minutes 40 seconds
epoch  5, iter 3901: loss: 0.05410698 | lr: 0.00009755  | spend time: 0 days  0 hours 28 minutes 22 seconds
epoch  5, iter 4001: loss: 0.05504547 | lr: 0.00009755  | spend time: 0 days  0 hours 29 minutes  4 seconds
epoch  5, iter 4101: loss: 0.05550162 | lr: 0.00009755  | spend time: 0 days  0 hours 29 minutes 46 seconds
epoch  5, iter 4201: loss: 0.05627657 | lr: 0.00009755  | spend time: 0 days  0 hours 30 minutes 28 seconds
epoch  5, iter 4301: loss: 0.05725956 | lr: 0.00009755  | spend time: 0 days  0 hours 31 minutes 10 seconds
epoch  5, iter 4401: loss: 0.05779945 | lr: 0.00009755  | spend time: 0 days  0 hours 31 minutes 52 seconds
epoch  5, iter 4501: loss: 0.05526076 | lr: 0.00009755  | spend time: 0 days  0 hours 32 minutes 34 seconds
epoch  5, iter 4601: loss: 0.05574304 | lr: 0.00009755  | spend time: 0 days  0 hours 33 minutes 16 seconds
epoch  5, iter 4701: loss: 0.05651933 | lr: 0.00009755  | spend time: 0 days  0 hours 33 minutes 58 seconds
epoch  5, iter 4801: loss: 0.05532849 | lr: 0.00009755  | spend time: 0 days  0 hours 34 minutes 40 seconds
epoch  5, iter 4901: loss: 0.05490321 | lr: 0.00009755  | spend time: 0 days  0 hours 35 minutes 22 seconds
epoch  5, iter 5001: loss: 0.05505986 | lr: 0.00009755  | spend time: 0 days  0 hours 36 minutes  4 seconds
epoch  5, iter 5101: loss: 0.05542929 | lr: 0.00009755  | spend time: 0 days  0 hours 36 minutes 46 seconds
epoch  5, iter 5201: loss: 0.05590194 | lr: 0.00009755  | spend time: 0 days  0 hours 37 minutes 28 seconds
epoch  5, iter 5301: loss: 0.05576524 | lr: 0.00009755  | spend time: 0 days  0 hours 38 minutes 10 seconds
epoch  5, iter 5401: loss: 0.05699566 | lr: 0.00009755  | spend time: 0 days  0 hours 38 minutes 53 seconds
epoch  5, iter 5501: loss: 0.05508316 | lr: 0.00009755  | spend time: 0 days  0 hours 39 minutes 35 seconds
epoch  5, iter 5601: loss: 0.05501445 | lr: 0.00009755  | spend time: 0 days  0 hours 40 minutes 17 seconds
epoch  5, iter 5701: loss: 0.05756478 | lr: 0.00009755  | spend time: 0 days  0 hours 40 minutes 59 seconds
epoch  5, iter 5801: loss: 0.05470994 | lr: 0.00009755  | spend time: 0 days  0 hours 41 minutes 41 seconds
epoch  5, iter 5901: loss: 0.05597655 | lr: 0.00009755  | spend time: 0 days  0 hours 42 minutes 23 seconds
epoch  5, iter 6001: loss: 0.05574335 | lr: 0.00009755  | spend time: 0 days  0 hours 43 minutes  5 seconds
